package,total_downloads
A3,13172
aaSEA,2728
ABACUS,2071
abbyyR,9386
abc,81887
abc.data,80547
ABC.RAP,5849
abcADM,635
ABCanalysis,8965
abcdeFBA,7624
ABCoptim,8408
ABCp2,7926
abcrf,10046
abcrlda,664
abctools,72970
abd,21078
abdiv,0
abe,6421
abf2,7364
ABHgenotypeR,6636
abind,1848691
abjutils,26544
abn,13914
abnormality,5384
abodOutlier,6397
ABPS,5934
AbsFilterGSEA,6744
AbSim,6255
abstractr,5059
abtest,3706
abundant,7210
Ac3net,5023
ACA,6369
acc,7074
accelerometry,9602
accelmissing,6064
accept,1974
AcceptanceSampling,11957
ACCLMA,7320
accrual,7219
accrued,7321
accSDA,5474
ACD,9225
ACDm,6120
ace2fastq,2942
acebayes,7927
acepack,1483104
ACEt,6656
acfMPeriod,2276
acid,7501
acm4r,6740
ACMEeqtl,5259
acmeR,5962
ACNE,7236
acnr,7249
acopula,7237
AcousticNDLCodeR,5757
acp,8486
aCRM,7393
AcrossTic,5957
acrt,6136
acs,39305
ACSNMineR,6251
acss,6799
acss.data,7270
ACSWR,7173
ACTCD,7026
ActFrag,2541
Actigraphy,7156
ActiveDriver,5466
ActiveDriverWGS,3623
ActivePathways,3035
activity,9092
activityCounts,2244
activPAL,2309
activpalProcessing,5750
actogrammr,5383
actuar,85807
AcuityView,5526
ada,74021
adabag,121591
adagio,11228
adamethods,12004
AdapEnetClass,6670
adapr,5814
AdapSamp,5429
adaptalint,5681
AdaptFit,7327
AdaptFitOS,7463
AdaptGauss,8492
adaptiveGPCA,6300
AdaptiveSparsity,6653
adaptivetau,13077
adaptMCMC,10257
adaptMT,4669
ADAPTS,3224
adaptsmoFMRI,6573
adaptTest,7053
AdaSampling,5304
ADCT,5374
addhaz,6208
addhazard,6226
addinslist,13367
addinsOutline,462
additiveDEA,5428
additivityTests,37171
addreg,6552
ADDT,6574
ade4,370615
ade4TkGUI,29476
adeba,5366
adegenet,85899
adegraphics,42343
adehabitatHR,38797
adehabitatHS,14488
adehabitatLT,56788
adehabitatMA,60194
adephylo,40466
adepro,5317
adept,2580
adeptdata,3408
AdequacyModel,10089
adespatial,23164
adfExplorer,6348
ADGofTest,55332
AdhereR,7375
adhoc,8089
adimpro,14764
adiv,6533
AdjBQR,5230
adjclust,5549
adjustedcranlogs,5149
adklakedata,5052
adlift,9978
admisc,9158
AdMit,9248
admixturegraph,5687
ADMM,9005
admmDensestSubmatrix,746
ADMMnet,5565
ADMMsigma,4903
adnuts,5086
adoption,3702
adoptr,5227
ADPclust,7101
ADPF,5593
adpss,3943
ads,9547
AdvBinomApps,5628
advclust,5773
AdvDif4,6006
adwave,6598
adwordsR,4850
AEDForecasting,6499
aemo,6097
AER,433008
AeRobiology,6959
AF,7084
afc,5693
afCEC,5182
afex,77608
affluenceIndex,5532
AFheritability,2790
AFM,7610
afmToolkit,5123
afpt,5121
aftgee,7441
AGD,28266
aGE,4547
AggregateR,7059
aggregation,9943
AGHmatrix,5469
agop,7752
AGread,6251
agRee,7462
AgreementInterval,4049
agricolae,234351
agridat,14906
agriTutorial,5978
agriwater,4329
agrmt,7354
agrostab,1002
AGSDest,9168
agsemisc,6430
ahaz,10878
AHM,2265
AHMbook,6146
ahnr,5160
AhoCorasickTrie,5977
ahp,8914
ahpsurvey,5867
AHR,6942
AICcmodavg,77122
AID,10859
aidar,6401
AIG,5965
AIM,7200
aimPlot,5369
aimsir17,395
aire.zmvm,7805
airGR,12718
airGRteaching,7828
airportr,5664
airr,5113
aiRthermo,5564
ajv,5548
akc,0
Ake,6224
akima,104579
akmeans,7129
akmedoids,5526
ALA4R,7770
alabama,30942
alakazam,8597
ALassoSurvIC,912
albopictus,5290
ald,9818
ALDqr,6775
ALEPlot,11285
aLFQ,7296
alfr,2386
alfred,8496
algaeClassify,2812
AlgDesign,257397
AlgebraicHaploPackage,5717
algorithmia,6726
aliases2entrez,1136
alignfigR,4741
alineR,7049
allan,6721
allanvar,6603
alleHap,6556
allelematch,6267
AlleleRetain,6746
allelic,6719
AllPossibleSpellings,6836
alluvial,19607
alpaca,16380
alphabetr,5049
alphahull,35774
alphaOutlier,6126
AlphaPart,2861
alphashape3d,30093
AlphaSimR,8143
alphastable,5185
AlphaVantageClient,5195
alphavantager,12554
alr3,60556
alr4,91317
ALS,8468
ALSCPC,6476
ALSM,7514
altair,2280
alterryx,6261
altmeta,6227
ALTopt,6700
altR2,1400
amap,71937
AMAP.Seq,7360
amber,1272
ambhasGW,5021
ambient,4748
AMCP,6364
AMCTestmakeR,5184
ameco,5909
Amelia,138119
amelie,5256
amen,7357
AmericanCallOpt,8031
amerika,3619
AmesHousing,32426
AMGET,6236
AMIAS,6257
AmigaFFH,5351
aml,6388
ammistability,4490
AMModels,5573
AmmoniaConcentration,5225
aMNLFA,4608
AMOEBA,7774
AMORE,13014
AmostraBrasil,5780
ampd,5272
ampir,342
AMPLE,2304
AMR,15162
amt,9083
AmyloGram,5165
AnaCoDa,5165
anacor,9454
analogsea,29355
analogue,14915
analogueExtra,5754
analysisPipelines,4844
analytics,6022
analyz,6262
AnalyzeFMRI,13710
AnalyzeTS,7384
anapuce,6275
AncestryMapper,6432
anchoredDistr,4888
anchors,11233
AnDE,6259
andrews,8656
anesrake,10500
anfis,6528
AnglerCreelSurveySimulation,6326
angstroms,4818
aniDom,6168
anim.plots,6972
AnimalHabitatNetwork,520
animalTrack,6521
animation,188745
animint2,2206
anipaths,6457
anMC,8091
ANN2,12438
AnnotationBustR,5488
AnnotLists,6889
AnnuityRIR,5174
anocva,6155
anoint,5947
ANOM,5971
anomalize,22166
anomaly,6103
anominate,5839
ANOVA.TFNs,6312
ANOVAIREVA,1058
ANOVAreplication,7602
ANOVAShiny,3531
AntAngioCOOL,5004
antaresEditObject,6012
antaresProcessing,6633
antaresRead,10893
antaresViz,5511
anthro,5660
AnthropMMD,9361
Anthropometry,17814
